loan_amnt,term,int_rate,sub_grade,verification_status,addr_state,dti,open_acc,revol_util,total_acc,last_fico_range_high,last_fico_range_low,avg_cur_bal,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,pct_tl_nvr_dlq,loan_status
3600.0, 36 months,13.99,C4,Not Verified,PA,5.91,7.0,29.7,13.0,564.0,560.0,20701.0,128.0,3.0,76.9,Fully Paid
24700.0, 36 months,11.99,C1,Not Verified,SD,16.06,22.0,19.2,38.0,699.0,695.0,9733.0,192.0,2.0,97.4,Fully Paid
10400.0, 60 months,22.45,F1,Source Verified,PA,25.37,12.0,64.5,35.0,704.0,700.0,27644.0,210.0,4.0,96.6,Fully Paid
11950.0, 36 months,13.44,C3,Source Verified,GA,10.2,5.0,68.4,6.0,759.0,755.0,2560.0,54.0,32.0,100.0,Fully Paid
20000.0, 36 months,9.17,B2,Not Verified,MN,14.67,12.0,84.5,27.0,654.0,650.0,30030.0,306.0,10.0,96.3,Fully Paid
20000.0, 36 months,8.49,B1,Not Verified,SC,17.61,8.0,5.7,15.0,674.0,670.0,17700.0,55.0,32.0,93.3,Fully Paid
10000.0, 36 months,6.49,A2,Not Verified,PA,13.07,14.0,34.5,23.0,719.0,715.0,1997.0,129.0,1.0,95.7,Fully Paid
8000.0, 36 months,11.48,B5,Not Verified,RI,34.8,8.0,39.1,18.0,679.0,675.0,28528.0,253.0,15.0,94.4,Fully Paid
1400.0, 36 months,12.88,C2,Not Verified,NC,34.95,17.0,67.2,24.0,704.0,700.0,19159.0,234.0,18.0,100.0,Fully Paid
18000.0, 60 months,19.48,E2,Not Verified,CA,9.39,18.0,40.7,27.0,584.0,580.0,2014.0,112.0,1.0,100.0,Charged Off
28000.0, 36 months,6.49,A2,Not Verified,NC,21.6,16.0,64.5,24.0,764.0,760.0,13819.0,379.0,19.0,91.7,Fully Paid
9600.0, 36 months,7.49,A4,Not Verified,SC,22.44,7.0,59.4,9.0,779.0,775.0,7912.0,91.0,9.0,100.0,Fully Paid
25000.0, 36 months,7.49,A4,Not Verified,VA,26.02,9.0,54.3,19.0,724.0,720.0,33976.0,168.0,13.0,100.0,Fully Paid
18000.0, 60 months,11.99,C1,Not Verified,AZ,8.68,17.0,15.5,27.0,794.0,790.0,17089.0,265.0,1.0,100.0,Fully Paid
8650.0, 36 months,19.89,E3,Verified,IN,25.49,18.0,46.0,19.0,639.0,635.0,1051.0,95.0,0.0,100.0,Fully Paid
29900.0, 60 months,12.88,C2,Verified,MD,21.77,15.0,46.7,31.0,719.0,715.0,15732.0,139.0,5.0,100.0,Fully Paid
16000.0, 60 months,14.85,C5,Not Verified,SC,33.18,11.0,29.6,19.0,664.0,660.0,2848.0,294.0,11.0,78.9,Fully Paid
28000.0, 36 months,13.44,C3,Source Verified,NY,7.49,6.0,63.1,22.0,744.0,740.0,3797.0,187.0,22.0,100.0,Fully Paid
6000.0, 36 months,7.49,A4,Not Verified,TX,13.28,9.0,72.0,16.0,719.0,715.0,12911.0,259.0,18.0,93.7,Fully Paid
20000.0, 36 months,5.32,A1,Not Verified,NY,18.83,12.0,3.0,17.0,809.0,805.0,1287.0,295.0,19.0,100.0,Fully Paid
16000.0, 60 months,17.97,D4,Source Verified,NM,23.35,11.0,87.6,33.0,679.0,675.0,16631.0,164.0,3.0,100.0,Fully Paid
17600.0, 36 months,5.32,A1,Source Verified,KS,26.59,20.0,34.4,42.0,779.0,775.0,12057.0,175.0,37.0,100.0,Fully Paid
15000.0, 36 months,5.32,A1,Source Verified,VA,15.34,7.0,50.3,21.0,694.0,690.0,2429.0,162.0,13.0,90.5,Fully Paid
16000.0, 36 months,12.88,C2,Not Verified,AL,18.96,7.0,54.3,20.0,629.0,625.0,5683.0,360.0,1.0,80.0,Charged Off
12000.0, 36 months,10.78,B4,Not Verified,WA,24.04,15.0,62.8,39.0,754.0,750.0,26756.0,166.0,9.0,87.2,Fully Paid
25000.0, 60 months,13.99,C4,Not Verified,MD,34.53,33.0,18.6,72.0,604.0,600.0,8556.0,174.0,1.0,100.0,Charged Off
7000.0, 36 months,7.49,A4,Not Verified,MD,13.06,10.0,24.2,34.0,769.0,765.0,6136.0,223.0,10.0,97.1,Fully Paid
21000.0, 60 months,13.99,C4,Source Verified,OH,14.47,5.0,87.4,15.0,699.0,695.0,74481.0,131.0,85.0,100.0,Fully Paid
27500.0, 60 months,14.85,C5,Not Verified,LA,6.79,14.0,50.9,19.0,734.0,730.0,19107.0,173.0,3.0,100.0,Fully Paid
7200.0, 36 months,11.48,B5,Verified,GA,8.47,5.0,35.2,7.0,739.0,735.0,29558.0,7.0,2.0,100.0,Fully Paid
20000.0, 36 months,14.85,C5,Not Verified,IL,12.45,8.0,84.5,12.0,694.0,690.0,5356.0,102.0,16.0,100.0,Fully Paid
20000.0, 36 months,15.77,D1,Not Verified,FL,22.21,24.0,36.6,63.0,659.0,655.0,2759.0,137.0,2.0,92.1,Fully Paid
10000.0, 60 months,17.97,D4,Not Verified,CO,35.7,14.0,78.0,28.0,524.0,520.0,20578.0,176.0,7.0,100.0,Charged Off
20000.0, 36 months,9.8,B3,Not Verified,WA,23.45,14.0,9.6,26.0,799.0,795.0,2864.0,283.0,4.0,92.3,Fully Paid
8650.0, 36 months,5.32,A1,Not Verified,IN,7.28,15.0,26.7,24.0,774.0,770.0,13788.0,173.0,16.0,100.0,Fully Paid
21000.0, 60 months,13.44,C3,Source Verified,TX,12.14,9.0,26.8,44.0,719.0,715.0,5721.0,194.0,17.0,100.0,Fully Paid
7200.0, 36 months,15.77,D1,Not Verified,NY,17.35,24.0,69.0,43.0,689.0,685.0,11493.0,126.0,15.0,97.7,Fully Paid
8800.0, 36 months,9.8,B3,Source Verified,MI,5.18,9.0,76.6,24.0,709.0,705.0,11739.0,169.0,6.0,87.5,Fully Paid
2500.0, 36 months,17.27,D3,Verified,FL,17.6,7.0,31.1,22.0,669.0,665.0,28167.0,179.0,3.0,68.4,Fully Paid
11000.0, 36 months,9.17,B2,Not Verified,OH,21.34,9.0,84.8,18.0,704.0,700.0,22864.0,135.0,13.0,94.4,Fully Paid
10000.0, 36 months,12.88,C2,Not Verified,MO,9.44,13.0,41.7,33.0,594.0,590.0,23424.0,111.0,9.0,100.0,Fully Paid
28000.0, 60 months,18.49,D5,Verified,IN,31.88,27.0,51.9,46.0,694.0,690.0,7176.0,158.0,4.0,100.0,Fully Paid
35000.0, 60 months,11.99,C1,Source Verified,DC,6.46,17.0,27.4,46.0,724.0,720.0,8639.0,310.0,19.0,91.3,Fully Paid
7200.0, 36 months,9.17,B2,Not Verified,MA,19.25,13.0,47.6,25.0,634.0,630.0,19881.0,137.0,11.0,96.0,Fully Paid
10000.0, 36 months,7.91,A5,Not Verified,OH,10.81,4.0,45.0,7.0,699.0,695.0,6839.0,206.0,1.0,100.0,Fully Paid
21875.0, 36 months,11.99,C1,Source Verified,FL,17.76,9.0,57.1,14.0,774.0,770.0,5122.0,176.0,6.0,100.0,Fully Paid
14025.0, 60 months,18.49,D5,Verified,WI,18.0,12.0,74.9,21.0,694.0,690.0,5032.0,172.0,2.0,100.0,Fully Paid
35000.0, 60 months,12.88,C2,Source Verified,AL,17.36,8.0,72.1,27.0,504.0,500.0,37486.0,164.0,38.0,100.0,Charged Off
20000.0, 36 months,12.88,C2,Not Verified,RI,12.28,12.0,80.2,21.0,609.0,605.0,39020.0,142.0,4.0,100.0,Fully Paid
14000.0, 60 months,14.85,C5,Not Verified,AZ,24.29,11.0,73.9,24.0,514.0,510.0,6435.0,71.0,23.0,100.0,Charged Off
20000.0, 60 months,13.99,C4,Source Verified,MD,16.9,20.0,42.0,35.0,624.0,620.0,1835.0,174.0,5.0,94.3,Charged Off
4200.0, 36 months,13.44,C3,Not Verified,NY,26.21,14.0,88.5,37.0,719.0,715.0,14073.0,203.0,13.0,100.0,Fully Paid
19000.0, 60 months,14.85,C5,Not Verified,NY,13.09,15.0,63.7,34.0,779.0,775.0,5146.0,186.0,1.0,94.1,Fully Paid
15850.0, 60 months,23.13,F2,Not Verified,OH,34.85,18.0,21.3,24.0,744.0,740.0,2649.0,107.0,2.0,100.0,Fully Paid
30000.0, 36 months,15.77,D1,Not Verified,OH,18.5,9.0,50.3,23.0,734.0,730.0,51015.0,220.0,16.0,95.7,Fully Paid
1500.0, 36 months,6.49,A2,Not Verified,HI,16.11,12.0,21.2,37.0,739.0,735.0,15864.0,336.0,6.0,97.2,Fully Paid
25000.0, 36 months,5.32,A1,Not Verified,VT,9.54,7.0,42.5,18.0,784.0,780.0,61551.0,238.0,4.0,100.0,Fully Paid
